State,Date,Cases,Recovered,Active,Deaths
Nagaland,22/08/2021,29554,27951,994,609
Odisha,22/08/2021,1000084,984224,8571,7289
Puducherry,22/08/2021,122832,120116,908,1808
Punjab,22/08/2021,600225,583380,493,16352
Rajasthan,22/08/2021,954018,944897,167,8954
Sikkim,22/08/2021,29244,27250,1630,364
Tamil Nadu,22/08/2021,2599255,2545178,19391,34686
Telangana,22/08/2021,654758,644294,6608,3856
Tripura,22/08/2021,82050,80016,1249,785
Uttarakhand,22/08/2021,342737,335039,321,7377
Uttar Pradesh,22/08/2021,1709100,1685901,407,22792
West Bengal,22/08/2021,1542425,1514475,9594,18356
Andaman and Nicobar Islands,23/08/2021,7557,7420,8,129
Andhra Pradesh,23/08/2021,2002340,1973940,14677,13723
Arunachal Pradesh,23/08/2021,52214,50695,1260,259
Assam,23/08/2021,584434,570847,8011,5576
Bihar,23/08/2021,725588,715798,141,9649
Chandigarh,23/08/2021,65066,64213,41,812
Chhattisgarh,23/08/2021,1004144,989728,863,13553
Dadra and Nagar Haveli and Daman and Diu,23/08/2021,10659,10651,4,4
Delhi,23/08/2021,1437317,1411840,398,25079
Goa,23/08/2021,173164,169080,899,3185
Gujarat,23/08/2021,825302,815041,182,10079
Haryana,23/08/2021,770347,760004,676,9667
Himachal Pradesh,23/08/2021,211746,206103,2074,3569
Jammu and Kashmir,23/08/2021,324202,318635,1165,4402
Jharkhand,23/08/2021,347730,342421,177,5132
Karnataka,23/08/2021,2938616,2880889,20582,37145
Kerala,23/08/2021,3814305,3631066,163745,19494
Ladakh,23/08/2021,20491,20223,61,207
Lakshadweep,23/08/2021,10309,10235,23,51
Madhya Pradesh,23/08/2021,792101,781499,86,10516
Maharashtra,23/08/2021,6424651,6231999,56690,135962
Manipur,23/08/2021,110942,105197,3994,1751
Meghalaya,23/08/2021,73765,69425,3062,1278
Mizoram,23/08/2021,52472,46290,5982,200
Nagaland,23/08/2021,29589,28004,975,610
Odisha,23/08/2021,1000937,985302,8277,7358
Puducherry,23/08/2021,122892,120237,847,1808
Punjab,23/08/2021,600266,583426,488,16352
Rajasthan,23/08/2021,954023,944917,152,8954
Sikkim,23/08/2021,29314,27366,1583,365
Tamil Nadu,23/08/2021,2600885,2547005,19171,34709
Telangana,23/08/2021,654989,644747,6384,3858
Tripura,23/08/2021,82095,80213,1095,787
Uttarakhand,23/08/2021,342749,335055,317,7377
